mood,acousticness,danceability,energy,instrumentalness,key,mode,tempo,valence
neutral,0.0345,0.557,0.701,0.106,6,1,121.981,0.0352
neutral,0.0487,0.769,0.596,0.00803,7,0,105.032,0.259
neutral,0.207,0.62,0.761,0.000147,10,0,146.003,0.194
neutral,0.183,0.728,0.536,1.23e-06,5,0,105.037,0.434
neutral,0.223,0.834,0.547,0.11,7,0,113.009,0.596
neutral,0.628,0.701,0.544,0.266,5,1,120.022,0.0375
neutral,0.489,0.78,0.352,3.49e-05,1,1,114.978,0.549
neutral,0.364,0.74,0.666,7.77e-06,4,1,118.029,0.232
neutral,0.611,0.413,0.545,0.912,8,1,119.053,0.0546
neutral,0.182,0.542,0.536,0.00023,0,1,99.871,0.146
neutral,0.738,0.706,0.3,0.00197,2,1,105.014,0.315
neutral,0.709,0.717,0.608,0.000307,4,0,119.99,0.237
neutral,0.818,0.765,0.468,0.00708,11,0,127.984,0.347
neutral,0.612,0.695,0.372,0.209,2,1,105.031,0.188
neutral,0.547,0.794,0.822,0.624,11,1,122.982,0.0394
neutral,0.426,0.584,0.626,0.654,8,1,114.954,0.235
neutral,0.322,0.797,0.554,0.0709,9,0,112.976,0.403
